angle1	rate1	angle2	rate2	angle3	rate3	angle4	rate4
29.1	22	29.1	17	29.1	18	29.1	22
29.2	21	29.2	23	29.2	21	29.2	25
29.3	18	29.3	17	29.3	23	29.3	20
29.4	14	29.4	18	29.4	18	29.4	13
29.5	17	29.5	21	29.5	16	29.5	23
29.6	14	29.6	12	29.6	23	29.6	25
29.7	11	29.7	16	29.7	17	29.7	20
29.8	17	29.8	12	29.8	17	29.8	26
29.9	21	29.9	16	29.9	18	29.9	19
30	20	30	18	30	26	30	21
30.1	24	30.1	17	30.1	19	30.1	14
30.2	22	30.2	17	30.2	20	30.2	23
30.3	17	30.3	25	30.3	23	30.3	20
30.4	18	30.4	18	30.4	16	30.4	25
30.5	14	30.5	23	30.5	9	30.5	15
30.6	16	30.6	19	30.6	22	30.6	18
30.7	17	30.7	13	30.7	16	30.7	13
30.8	9	30.8	26	30.8	16	30.8	18
30.9	17	30.9	18	30.9	26	30.9	23
31	28	31	20	31	14	31	31
31.1	16	31.1	17	31.1	16	31.1	16
31.2	21	31.2	14	31.2	27	31.2	16
31.3	34	31.3	24	31.3	15	31.3	21
31.4	73	31.4	31	31.4	24	31.4	32
31.5	112	31.5	57	31.5	49	31.5	54
31.6	78	31.6	85	31.6	83	31.6	124
31.7	74	31.7	78	31.7	102	31.7	101
31.8	32	31.8	65	31.8	73	31.8	72
31.9	41	31.9	50	31.9	53	31.9	72
32	22	32	22	32	44	32	44
32.1	35	32.1	24	32.1	40	32.1	24
32.2	33	32.2	28	32.2	19	32.2	32
32.3	19	32.3	15	32.3	18	32.3	23
32.4	9	32.4	10	32.4	24	32.4	22
32.5	9	32.5	21	32.5	13	32.5	12
32.6	18	32.6	9	32.6	20	32.6	15
32.7	7	32.7	13	32.7	21	32.7	9
32.8	15	32.8	25	32.8	7	32.8	15
32.9	13	32.9	14	32.9	18	32.9	22
33	17	33	7	33	20	33	18
33.1	18	33.1	14	33.1	17	33.1	19
33.2	18	33.2	23	33.2	12	33.2	13
33.3	13	33.3	15	33.3	12	33.3	20
33.4	12	33.4	15	33.4	15	33.4	18
33.5	16	33.5	12	33.5	14	33.5	18
33.6	11	33.6	14	33.6	18	33.6	17
33.7	13	33.7	20	33.7	13	33.7	15
33.8	18	33.8	11	33.8	12	33.8	10
33.9	12	33.9	14	33.9	15	33.9	13
34	10	34	13	34	16	34	18
34.1	9	34.1	21	34.1	10	34.1	14
34.2	13	34.2	16	34.2	11	34.2	15
34.3	17	34.3	9	34.3	16	34.3	11
34.4	16	34.4	20	34.4	12	34.4	11
34.5	22	34.5	15	34.5	10	34.5	7
34.6	17	34.6	14	34.6	13	34.6	15
34.7	13	34.7	8	34.7	9	34.7	7
34.8	14	34.8	14	34.8	10	34.8	14
34.9	13	34.9	15	34.9	13	34.9	13
35	18	35	10	35	15	35	9
